accession	description	scientific_name	base_count	last_updated
KX976515	Drosophila yakuba isolate Yakuba_3_23 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976519	Drosophila yakuba isolate Yakuba_4_21 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB154552	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh11.	Drosophila kikkawai	683	2005-04-14
AF201425	Drosophila mauritiana isolate G52 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila mauritiana	475	2006-11-14
AF201428	Drosophila simulans isolate TT00 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	479	2006-11-14
AF201432	Drosophila simulans isolate NC37 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AF201437	Drosophila simulans isolate MD106 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	479	2006-11-14
AF201440	Drosophila simulans isolate RU35 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	479	2006-11-14
AF201441	Drosophila simulans isolate RU00 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AB154561	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh20.	Drosophila kikkawai	683	2005-04-14
AF201436	Drosophila simulans isolate DSR alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AF201438	Drosophila simulans isolate MD225 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AF201443	Drosophila simulans isolate RU07 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	479	2006-11-14
AF284477	Drosophila mauritiana strain 207 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	702	2006-11-14
AY804555	Drosophila yakuba strain Tai18 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila yakuba	759	2005-10-06
JX455215	Drosophila simulans isolate HW46 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
KX976490	Drosophila yakuba isolate Yakuba_BIOKO_NE_4_6 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB669828	Drosophila biauraria Adh gene for alcohol dehydrogenase, partial cds, strain: B660.	Drosophila biauraria	842	2014-01-02
AB669872	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY326.	Drosophila ohnishii	843	2014-01-02
AB825962	Drosophila trapezifrons Adh gene for alcohol dehydrogenase, partial cds, strain: Bavi31.	Drosophila trapezifrons	836	2015-12-16
AF459767	Drosophila nikananu alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila nikananu	290	2006-11-14
AF459783	Drosophila rufa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila rufa	290	2006-11-14
AY459545	Drosophila simulans alcohol dehydrogenase gene, partial cds and 5' flanking region.	Drosophila simulans	618	2006-08-19
KJ767237	Drosophila melanogaster strain Oregon R alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila melanogaster	872	2014-10-29
AB669827	Drosophila biauraria Adh gene for alcohol dehydrogenase, partial cds, strain: B16.	Drosophila biauraria	842	2014-01-02
AB669849	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L6.	Drosophila burlai	833	2014-01-02
AF201423	Drosophila melanogaster isolate Oregon R alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila melanogaster	479	2006-11-14
AF459760	Drosophila eugracilis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila eugracilis	290	2006-11-14
AF459764	Drosophila punjabiensis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila punjabiensis	290	2006-11-14
AB669830	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: ISGB1.	Drosophila lacteicornis	838	2014-01-02
AB669841	Drosophila triauraria Adh gene for alcohol dehydrogenase, partial cds, strain: T544.	Drosophila triauraria	842	2014-01-02
AF175218	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k35 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF459749	Drosophila takahashii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila takahashii	290	2006-11-14
AF459750	Drosophila lutescens alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila lutescens	290	2006-11-14
X54118	D.teissieri Adh gene for alcohol dehydrogenase and Adh-related gene	Drosophila teissieri	4321	2006-11-14
AF459751	Drosophila lucipennis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila lucipennis	290	2006-11-14
AF459781	Drosophila orosa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila orosa	290	2006-11-14
AB669894	Drosophila truncata Adh gene for alcohol dehydrogenase, partial cds, strain: RGN179.	Drosophila truncata	830	2014-01-02
AB669833	Drosophila quadraria Adh gene for alcohol dehydrogenase, partial cds, strain: Q.	Drosophila quadraria	843	2014-01-02
X54116	D.erecta Adh gene for alcohol dehydrogenase and Adh-related gene	Drosophila erecta	3867	2006-11-14
AB669829	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: BG0571.0.	Drosophila lacteicornis	838	2014-01-02
AB669861	Drosophila cauverii Adh gene for alcohol dehydrogenase, partial cds, strain: cauv-CNRS.	Drosophila cauverii	833	2014-01-02
AB669838	Drosophila tani Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0661.00.	Drosophila tani	838	2014-01-02
AB669874	Drosophila nikananu Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0661.01.	Drosophila nikananu	838	2014-01-02
M17827	D.melanogaster (strain Wa-S) alcohol dehydrogenase gene (allele Adh-s), complete cds.	Drosophila melanogaster	2696	2006-11-14
AB194441	Drosophila bipectinata Adh gene for alcohol dehydrogenase, partial cds, strain:wild type CJB162.	Drosophila bipectinata	759	2006-02-27
LC057202	Drosophila paralutea Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0281.00.	Drosophila paralutea	829	2019-06-04
M17828	D.melanogaster (strain Fl-1S) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	2696	2006-11-14
AB669848	Drosophila vulcana Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0711.00.	Drosophila vulcana	773	2014-01-02
AB669886	Drosophila mayri Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0591.00.	Drosophila mayri	836	2014-01-02
LC057201	Drosophila prostipennis Adh gene for alcohol dehydrogenase, partial cds, strain: 14022-0291.00.	Drosophila prostipennis	827	2019-06-04
AB194427	Drosophila varians Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila varians	1756	2006-02-27
AB194421	Drosophila bipectinata Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila bipectinata	1769	2006-02-27
U66411	Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds.	Drosophila melanogaster	4789	1997-10-02
AF348881	Drosophila biauraria strain HP alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila biauraria	666	2006-11-14
AF348880	Drosophila triauraria strain ONM alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila triauraria	668	2006-11-14
AI513113	GH01616.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH01616 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/12/2002, mRNA sequence.	Drosophila melanogaster	515	2003-12-03
CK131199	GH15138.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH15138 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/14/2002, mRNA sequence.	Drosophila melanogaster	668	2003-12-03
CV785019	zaa07h09.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to TR:Q9U8T1 Q9U8T1 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	231	2004-11-12
BI566106	RH35228.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH35228 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/31/2001, mRNA sequence.	Drosophila melanogaster	559	2001-09-07
AI107293	GH03875.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH03875 5 similar to X04454: Drosophila melanogaster alcohol dehydrogenase null4 allele, mRNA sequence.	Drosophila melanogaster	445	2001-04-27
BF497094	AT11166.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT11166 5 similar to CG6083: FBan0006083 'alcohol dehydrogenase, iron-dependent' located on: 3L 68C9-68C10 : 04/08/2001, mRNA sequence.	Drosophila melanogaster	532	2001-04-26
BF494131	AT02556.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT02556 5 similar to CG6083: FBan0006083 'alcohol dehydrogenase, iron-dependent' located on: 3L 68C9-68C10 : 04/07/2001, mRNA sequence.	Drosophila melanogaster	799	2001-04-26
BI214744	RE20859.5prime RE Drosophila melanogaster normalized Embryo pFlc-1 Drosophila melanogaster cDNA clone RE20859 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/12/2001, mRNA sequence.	Drosophila melanogaster	677	2001-07-13
BI623813	RH56162.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH56162 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/22/2001, mRNA sequence.	Drosophila melanogaster	601	2001-09-11
AA802598	GM05887.5prime GM Drosophila melanogaster ovary BlueScript Drosophila melanogaster cDNA clone GM05887 5 similar to T3dh: FBan0003425 GO:[alcohol dehydrogenase (GO:0004022) enzyme (GO:0003824)] located on: 2R 58D4-58D4 : 08/13/2002, mRNA sequence.	Drosophila melanogaster	684	2003-12-03
BI630708	RH59992.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH59992 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/23/2001, mRNA sequence.	Drosophila melanogaster	558	2001-09-11
AI387658	GH18240.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH18240 3prime similar to U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds. CDS:<1..184 PID:g1655925, mRNA sequence.	Drosophila melanogaster	512	2001-04-25
AA440486	LD13208.3prime LD Drosophila melanogaster embryo BlueScript Drosophila melanogaster cDNA clone LD13208 3prime similar to U66409: Drosophila melanogaster Pgc mRNA, 3' non-coding region U66411: Drosophila melanogaster gp150 protein and putative type III alcohol dehydrogenase (T3dh) genes, partial cds, mRNA sequence.	Drosophila melanogaster	529	2001-04-26
AY279327	Drosophila lutescens alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.	Drosophila lutescens	2773	2006-11-14
M19264	D.mauritiana alcohol dehydrogenase gene, complete cds.	Drosophila mauritiana	4581	2006-11-14
AH000981	Drosophila melanogaster alcohol dehydrogenase gene, partial cds.	Drosophila melanogaster	271	2011-06-30
M73256	D.melanogaster alcohol dehydrogenase (Adh) gene, exon 2.	Drosophila melanogaster	1375	2006-11-14
HQ631469	Drosophila biarmipes alcohol dehydrogenase (adh) gene, partial cds.	Drosophila biarmipes	290	2012-01-02
HQ631474	Drosophila fuyamai alcohol dehydrogenase (adh) gene, partial cds.	Drosophila fuyamai	290	2012-01-02
HQ631477	Drosophila liui alcohol dehydrogenase (adh) gene, partial cds.	Drosophila liui	290	2012-01-02
HQ631482	Drosophila pseudoananassae alcohol dehydrogenase (adh) gene, partial cds.	Drosophila pseudoananassae	290	2012-01-02
HQ631483	Drosophila prostipennis alcohol dehydrogenase (adh) gene, partial cds.	Drosophila prostipennis	290	2012-01-02
HQ631485	Drosophila tani alcohol dehydrogenase (adh) gene, partial cds.	Drosophila tani	290	2012-01-02
HQ631486	Drosophila trapezifrons alcohol dehydrogenase (adh) gene, partial cds.	Drosophila trapezifrons	290	2012-01-02
HQ631487	Drosophila trilutea alcohol dehydrogenase (adh) gene, partial cds.	Drosophila trilutea	290	2012-01-02
HQ631479	Drosophila ogumai alcohol dehydrogenase (adh) gene, partial cds.	Drosophila ogumai	290	2012-01-02
M36581	D.simulans alcohol dehydrogenase (Adh) gene, complete cds.	Drosophila simulans	2719	2006-11-14
GQ376038	Drosophila simulans alcohol dehydrogenase (ADH) gene, partial cds.	Drosophila simulans	410	2009-08-03
KM016470	Drosophila simulans isolate KY06 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	476	2014-09-24
KM016474	Drosophila simulans isolate KY04 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	481	2014-09-24
X57368	Drosophila yakuba (individual d) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
KM016467	Drosophila simulans isolate KY35 alcohol dehydrogenase-related gene, intron.	Drosophila simulans	481	2014-09-24
X57365	Drosophila yakuba (individual a) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
X57367	Drosophila yakuba (individual c) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
X57371	Drosophila yakuba (individual g) Adh gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
X57364	Drosophila simulans (individual f) Adh gene for alcohol dehydrogenase	Drosophila simulans	975	2006-11-14
X57366	Drosophila yakuba (individual b) ADH gene for alcohol dehydrogenase	Drosophila yakuba	975	2006-11-14
X57363	Drosophila simulans (individual e) Adh gene for alcohol dehydrogenase	Drosophila simulans	972	2006-11-14
X60791	D.melanogaster (strain KA12) Adh gene for alcohol dehydrogenase	Drosophila melanogaster	1925	2006-11-14
AF201442	Drosophila simulans isolate RU01 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	478	2006-11-14
JX455219	Drosophila simulans isolate HW50 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	481	2014-01-02
KX976501	Drosophila yakuba isolate Yakuba_Abidjan_12 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB154557	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh16.	Drosophila kikkawai	686	2005-04-14
AB154562	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh21.	Drosophila kikkawai	683	2005-04-14
AF201445	Drosophila simulans isolate MD111 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	465	2006-11-14
KX976491	Drosophila yakuba isolate Yakuba_Montecafe_17_17 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976493	Drosophila yakuba isolate Yakuba_Cascade_18 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
KX976495	Drosophila yakuba isolate Yakuba_Cascade_19 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
Z00030	D. melanogaster alcohol dehydrogenase structural gene and flanks (composite sequence)	Drosophila melanogaster	7423	2006-11-14
AB154548	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh07.	Drosophila kikkawai	686	2005-04-14
AB154549	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh08.	Drosophila kikkawai	686	2005-04-14
AB154558	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh17.	Drosophila kikkawai	683	2005-04-14
AF201435	Drosophila simulans isolate DSW alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AF201447	Drosophila simulans isolate MD199 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2006-11-14
AF284476	Drosophila mauritiana strain 197 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila mauritiana	701	2006-11-14
KX384730	Drosophila bipectinata strain IND_DBP_U14 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila bipectinata	873	2017-01-03
KX976520	Drosophila yakuba isolate Yakuba_2_6 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
JX455210	Drosophila simulans isolate HW01 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
JX455211	Drosophila simulans isolate HW02 alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila simulans	480	2014-01-02
KX976505	Drosophila yakuba isolate Yakuba_Bosu_1235_14 alcohol dehydrogenase (Adh) mRNA, complete cds.	Drosophila yakuba	771	2016-11-12
AB669852	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: NHO115.	Drosophila jambulina	830	2014-01-02
AF175217	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k30 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF175211	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h12 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF175212	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h13 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF459756	Drosophila phaeopleura alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila phaeopleura	290	2006-11-14
KY002643	UNVERIFIED: Drosophila melanogaster strain IND_DMEL_AMD10 alcohol dehydrogenase-like gene, complete sequence.	Drosophila melanogaster	708	2017-10-13
KY002644	UNVERIFIED: Drosophila ananassae strain IND_DANA_KL18 alcohol dehydrogenase-like gene, partial sequence.	Drosophila ananassae	740	2017-10-13
AB669840	Drosophila triauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KMJ1.	Drosophila triauraria	842	2014-01-02
AB669853	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: CJB212.	Drosophila punjabiensis	836	2014-01-02
AB669868	Drosophila lini Adh gene for alcohol dehydrogenase, partial cds, strain: DHS501.	Drosophila lini	843	2014-01-02
AB669881	Drosophila baimaii Adh gene for alcohol dehydrogenase, partial cds, strain: Y150.	Drosophila baimaii	838	2014-01-02
AB669889	Drosophila parvula Adh gene for alcohol dehydrogenase, partial cds, strain: SHL17.	Drosophila parvula	864	2014-01-02
AB669891	Drosophila pectinifera Adh gene for alcohol dehydrogenase, partial cds, strain: OGS98m.	Drosophila pectinifera	841	2014-01-02
AF175216	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k15 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF201427	Drosophila sechellia isolate type line alcohol dehydrogenase (Adhr) gene, intron 1.	Drosophila sechellia	482	2006-11-14
AF459747	Drosophila paralutea alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila paralutea	290	2006-11-14
AF459784	Drosophila ercepeae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila ercepeae	290	2006-11-14
AF459785	Drosophila elegans alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila elegans	290	2006-11-14
AF459786	Drosophila ficusphila alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila ficusphila	290	2006-11-14
KJ767240	Drosophila melanogaster strain Zimbabwe-109 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila melanogaster	872	2014-10-29
AB669883	Drosophila bicornuta Adh gene for alcohol dehydrogenase, partial cds, strain: BOG2.	Drosophila bicornuta	838	2014-01-02
AF175220	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k82 allele, complete cds.	Drosophila melanogaster	951	1999-12-21
AF459765	Drosophila seguyi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila seguyi	290	2006-11-14
KY002645	UNVERIFIED: Drosophila ananassae strain IND_DANA_AMD6 alcohol dehydrogenase-like gene, partial sequence.	Drosophila ananassae	1301	2017-10-13
AB669890	Drosophila pectinifera Adh gene for alcohol dehydrogenase, partial cds, strain: OGH06-06.	Drosophila pectinifera	841	2014-01-02
AB669865	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: AO-2.	Drosophila leontia	832	2014-01-02
KJ767242	Drosophila yakuba strain 14021-0261.0 alcohol dehydrogenase (Adh) gene, partial cds.	Drosophila yakuba	865	2014-10-29
AB669835	Drosophila rufa Adh gene for alcohol dehydrogenase, partial cds, strain: rufa-OGM.	Drosophila rufa	838	2014-01-02
AB669839	Drosophila tani Adh gene for alcohol dehydrogenase, partial cds, strain: tani-YF.	Drosophila tani	838	2014-01-02
AB830534	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: IR96-1.	Drosophila lacteicornis	838	2014-01-12
AF459758	Drosophila malerkotliana malerkotliana alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	Drosophila malerkotliana malerkotliana	290	2006-11-14
AB825961	Drosophila fengkainensis Adh gene for alcohol dehydrogenase, partial cds, strain: XT-33.	Drosophila fengkainensis	840	2015-12-16
U20765	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, complete cds, and copia insertion site.	Drosophila melanogaster	2365	2006-11-14
M17833	D.melanogaster (strain Fl-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	2727	2006-11-14
AB669847	Drosophila tsacasi Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0701.00.	Drosophila tsacasi	838	2014-01-02
M17835	D.melanogaster (strain Wa-F) alcohol dehydrogenase gene (allele Adh-F), complete cds.	Drosophila melanogaster	2769	2006-11-14
AB669875	Drosophila birchii Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0521.00.	Drosophila birchii	833	2014-01-02
AB669873	Drosophila nikananu Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0601.00.	Drosophila nikananu	839	2014-01-02
AB669877	Drosophila bunnanda Adh gene for alcohol dehydrogenase, partial cds, strain: 14028-0721.00.	Drosophila bunnanda	826	2014-01-02
M17845	D.melanogaster alcohol dehydrogenase gene, X-ray induced allele Adh-nLA248, exons 2-4.	Drosophila melanogaster	795	2006-11-14
AB194426	Drosophila ananassae Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila ananassae	1757	2006-02-27
AB194423	Drosophila malerkotliana pallens Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila malerkotliana pallens	1775	2006-02-27
AB194425	Drosophila pseudoananassae pseudoananassae Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	Drosophila pseudoananassae pseudoananassae	1762	2006-02-27
AF348879	Drosophila triauraria strain YK alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	Drosophila triauraria	668	2006-11-14
AI062419	GH01616.5prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH01616 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/12/2002, mRNA sequence.	Drosophila melanogaster	621	2003-12-03
BG632144	GH04104.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH04104 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/12/2002, mRNA sequence.	Drosophila melanogaster	690	2003-12-03
CV787951	zaa60b01.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	Drosophila yakuba	711	2004-11-12
BI571735	RH07019.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH07019 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	Drosophila melanogaster	548	2001-09-07
BI570978	RH05780.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH05780 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	Drosophila melanogaster	694	2001-09-07
