"seqid","source","type","start","end","score","strand","phase","attributes","longitud"
"JAJSEB010000012.1","Genbank","gene",18,527,".","-",".","ID=gene-LSM04_000567;Name=LSM04_000567;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000567;partial=true;start_range=.,18",510
"JAJSEB010000012.1","Genbank","gene",65346,68105,".","+",".","ID=gene-LSM04_003388;Name=LSM04_003388;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003388",2760
"JAJSEB010000012.1","Genbank","gene",68520,69107,".","+",".","ID=gene-LSM04_000125;Name=LSM04_000125;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000125",588
"JAJSEB010000012.1","Genbank","gene",70694,72316,".","+",".","ID=gene-LSM04_002355;Name=LSM04_002355;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002355",1623
"JAJSEB010000012.1","Genbank","gene",72702,73175,".","+",".","ID=gene-LSM04_009350;Name=LSM04_009350;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009350",474
"JAJSEB010000012.1","Genbank","gene",73990,87768,".","+",".","ID=gene-LSM04_003373;Name=LSM04_003373;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003373",13779
"JAJSEB010000012.1","Genbank","gene",88218,88898,".","+",".","ID=gene-LSM04_002319;Name=LSM04_002319;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002319",681
"JAJSEB010000012.1","Genbank","gene",89556,90443,".","+",".","ID=gene-LSM04_000631;Name=LSM04_000631;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000631",888
"JAJSEB010000012.1","Genbank","gene",91294,94626,".","+",".","ID=gene-LSM04_002624;Name=LSM04_002624;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002624",3333
"JAJSEB010000012.1","Genbank","gene",95107,100476,".","+",".","ID=gene-LSM04_006580;Name=LSM04_006580;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006580",5370
"JAJSEB010000012.1","Genbank","gene",103250,104989,".","+",".","ID=gene-LSM04_006249;Name=LSM04_006249;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006249",1740
"JAJSEB010000012.1","Genbank","gene",105487,106140,".","+",".","ID=gene-LSM04_005157;Name=LSM04_005157;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005157",654
"JAJSEB010000012.1","Genbank","gene",106827,109049,".","+",".","ID=gene-LSM04_007715;Name=LSM04_007715;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007715",2223
"JAJSEB010000012.1","Genbank","gene",114069,116291,".","+",".","ID=gene-LSM04_007656;Name=LSM04_007656;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007656",2223
"JAJSEB010000012.1","Genbank","gene",116781,117707,".","+",".","ID=gene-LSM04_006824;Name=LSM04_006824;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006824",927
"JAJSEB010000012.1","Genbank","gene",118459,120246,".","+",".","ID=gene-LSM04_000444;Name=LSM04_000444;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000444",1788
"JAJSEB010000012.1","Genbank","gene",121166,123304,".","+",".","ID=gene-LSM04_007461;Name=LSM04_007461;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007461",2139
"JAJSEB010000012.1","Genbank","gene",123980,126505,".","+",".","ID=gene-LSM04_002998;Name=LSM04_002998;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002998",2526
"JAJSEB010000012.1","Genbank","gene",127322,130507,".","+",".","ID=gene-LSM04_005982;Name=LSM04_005982;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005982",3186
"JAJSEB010000012.1","Genbank","gene",131152,133773,".","+",".","ID=gene-LSM04_009667;Name=LSM04_009667;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009667",2622
"JAJSEB010000012.1","Genbank","gene",134184,135497,".","+",".","ID=gene-LSM04_003106;Name=LSM04_003106;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003106",1314
"JAJSEB010000012.1","Genbank","gene",135932,136711,".","+",".","ID=gene-LSM04_005606;Name=LSM04_005606;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005606",780
"JAJSEB010000012.1","Genbank","gene",138522,139553,".","+",".","ID=gene-LSM04_007583;Name=LSM04_007583;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007583",1032
"JAJSEB010000012.1","Genbank","gene",139599,139802,".","+",".","ID=gene-LSM04_000552;Name=LSM04_000552;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000552",204
"JAJSEB010000012.1","Genbank","gene",141755,142786,".","+",".","ID=gene-LSM04_001973;Name=LSM04_001973;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001973",1032
"JAJSEB010000012.1","Genbank","gene",142832,143035,".","+",".","ID=gene-LSM04_006657;Name=LSM04_006657;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006657",204
"JAJSEB010000012.1","Genbank","gene",144983,146262,".","+",".","ID=gene-LSM04_002627;Name=LSM04_002627;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002627",1280
"JAJSEB010000012.1","Genbank","gene",146956,148233,".","+",".","ID=gene-LSM04_003828;Name=LSM04_003828;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003828",1278
"JAJSEB010000012.1","Genbank","gene",149419,150525,".","+",".","ID=gene-LSM04_009517;Name=LSM04_009517;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009517",1107
"JAJSEB010000012.1","Genbank","gene",151336,152385,".","+",".","ID=gene-LSM04_002287;Name=LSM04_002287;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002287",1050
"JAJSEB010000012.1","Genbank","gene",153079,153621,".","+",".","ID=gene-LSM04_008949;Name=LSM04_008949;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008949",543
"JAJSEB010000012.1","Genbank","gene",153869,154921,".","+",".","ID=gene-LSM04_002960;Name=LSM04_002960;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002960",1053
"JAJSEB010000012.1","Genbank","gene",155267,156148,".","+",".","ID=gene-LSM04_009619;Name=LSM04_009619;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009619",882
"JAJSEB010000012.1","Genbank","gene",157122,158324,".","+",".","ID=gene-LSM04_001357;Name=LSM04_001357;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001357",1203
"JAJSEB010000012.1","Genbank","gene",159584,162193,".","+",".","ID=gene-LSM04_009368;Name=LSM04_009368;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009368",2610
"JAJSEB010000012.1","Genbank","gene",163209,163676,".","+",".","ID=gene-LSM04_006782;Name=LSM04_006782;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006782",468
"JAJSEB010000012.1","Genbank","gene",164733,164972,".","+",".","ID=gene-LSM04_001667;Name=LSM04_001667;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001667",240
"JAJSEB010000012.1","Genbank","gene",166296,167609,".","+",".","ID=gene-LSM04_000323;Name=LSM04_000323;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000323",1314
"JAJSEB010000012.1","Genbank","gene",170382,171203,".","+",".","ID=gene-LSM04_000342;Name=LSM04_000342;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000342",822
"JAJSEB010000012.1","Genbank","gene",171505,172890,".","+",".","ID=gene-LSM04_007332;Name=LSM04_007332;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007332",1386
"JAJSEB010000012.1","Genbank","gene",174606,175190,".","+",".","ID=gene-LSM04_001228;Name=LSM04_001228;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001228",585
"JAJSEB010000012.1","Genbank","gene",175212,175955,".","+",".","ID=gene-LSM04_001987;Name=LSM04_001987;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001987",744
"JAJSEB010000012.1","Genbank","gene",177359,177916,".","+",".","ID=gene-LSM04_003366;Name=LSM04_003366;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003366",558
"JAJSEB010000012.1","Genbank","gene",178389,178757,".","+",".","ID=gene-LSM04_002964;Name=LSM04_002964;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002964",369
"JAJSEB010000012.1","Genbank","gene",180393,182270,".","+",".","ID=gene-LSM04_003368;Name=LSM04_003368;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003368",1878
"JAJSEB010000012.1","Genbank","gene",183851,184204,".","+",".","ID=gene-LSM04_007835;Name=LSM04_007835;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007835",354
"JAJSEB010000012.1","Genbank","gene",184903,186639,".","+",".","ID=gene-LSM04_001639;Name=LSM04_001639;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001639",1737
"JAJSEB010000012.1","Genbank","gene",187142,187714,".","+",".","ID=gene-LSM04_009149;Name=LSM04_009149;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009149",573
"JAJSEB010000012.1","Genbank","gene",188391,189566,".","+",".","ID=gene-LSM04_001970;Name=LSM04_001970;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001970",1176
"JAJSEB010000012.1","Genbank","gene",190051,191733,".","+",".","ID=gene-LSM04_007841;Name=LSM04_007841;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007841",1683
"JAJSEB010000012.1","Genbank","gene",192394,192627,".","+",".","ID=gene-LSM04_002857;Name=LSM04_002857;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002857",234
"JAJSEB010000012.1","Genbank","gene",193232,194758,".","+",".","ID=gene-LSM04_002802;Name=LSM04_002802;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002802",1527
"JAJSEB010000012.1","Genbank","gene",196529,198565,".","+",".","ID=gene-LSM04_001458;Name=LSM04_001458;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001458",2037
"JAJSEB010000012.1","Genbank","gene",201198,204428,".","+",".","ID=gene-LSM04_000667;Name=LSM04_000667;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000667",3231
"JAJSEB010000012.1","Genbank","gene",204822,205181,".","+",".","ID=gene-LSM04_007956;Name=LSM04_007956;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007956",360
"JAJSEB010000012.1","Genbank","gene",205751,207064,".","+",".","ID=gene-LSM04_007212;Name=LSM04_007212;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007212",1314
"JAJSEB010000012.1","Genbank","gene",208080,211778,".","+",".","ID=gene-LSM04_005547;Name=LSM04_005547;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005547",3699
"JAJSEB010000012.1","Genbank","gene",213682,214686,".","+",".","ID=gene-LSM04_002502;Name=LSM04_002502;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002502",1005
"JAJSEB010000012.1","Genbank","gene",216255,217991,".","+",".","ID=gene-LSM04_002616;Name=LSM04_002616;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002616",1737
"JAJSEB010000012.1","Genbank","gene",219172,220041,".","+",".","ID=gene-LSM04_005497;Name=LSM04_005497;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005497",870
"JAJSEB010000012.1","Genbank","gene",220552,225165,".","+",".","ID=gene-LSM04_000472;Name=LSM04_000472;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000472",4614
"JAJSEB010000012.1","Genbank","gene",225647,226657,".","+",".","ID=gene-LSM04_003850;Name=LSM04_003850;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003850",1011
"JAJSEB010000012.1","Genbank","gene",227418,230390,".","+",".","ID=gene-LSM04_000374;Name=LSM04_000374;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000374",2973
"JAJSEB010000012.1","Genbank","gene",234289,235110,".","+",".","ID=gene-LSM04_005153;Name=LSM04_005153;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005153",822
"JAJSEB010000012.1","Genbank","gene",235479,236774,".","+",".","ID=gene-LSM04_004088;Name=LSM04_004088;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004088",1296
"JAJSEB010000012.1","Genbank","gene",237557,239092,".","+",".","ID=gene-LSM04_001247;Name=LSM04_001247;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001247",1536
"JAJSEB010000012.1","Genbank","gene",239929,244788,".","+",".","ID=gene-LSM04_004965;Name=LSM04_004965;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004965",4860
"JAJSEB010000012.1","Genbank","gene",245567,247453,".","+",".","ID=gene-LSM04_009703;Name=LSM04_009703;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009703",1887
"JAJSEB010000012.1","Genbank","gene",248516,250282,".","+",".","ID=gene-LSM04_009045;Name=LSM04_009045;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009045",1767
"JAJSEB010000012.1","Genbank","gene",251432,252667,".","+",".","ID=gene-LSM04_002306;Name=LSM04_002306;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002306",1236
"JAJSEB010000012.1","Genbank","gene",253301,255373,".","+",".","ID=gene-LSM04_009713;Name=LSM04_009713;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009713",2073
"JAJSEB010000012.1","Genbank","gene",255942,256769,".","+",".","ID=gene-LSM04_001098;Name=LSM04_001098;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001098",828
"JAJSEB010000012.1","Genbank","gene",257497,260763,".","+",".","ID=gene-LSM04_008811;Name=LSM04_008811;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008811",3267
"JAJSEB010000012.1","Genbank","gene",261700,263607,".","+",".","ID=gene-LSM04_006065;Name=LSM04_006065;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006065",1908
"JAJSEB010000012.1","Genbank","gene",264711,265937,".","+",".","ID=gene-LSM04_009296;Name=LSM04_009296;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009296",1227
"JAJSEB010000012.1","Genbank","gene",266521,267483,".","+",".","ID=gene-LSM04_009283;Name=LSM04_009283;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009283",963
"JAJSEB010000012.1","Genbank","gene",267942,269075,".","+",".","ID=gene-LSM04_004673;Name=LSM04_004673;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004673",1134
"JAJSEB010000012.1","Genbank","gene",269508,271892,".","+",".","ID=gene-LSM04_009194;Name=LSM04_009194;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009194",2385
"JAJSEB010000012.1","Genbank","gene",272621,275017,".","+",".","ID=gene-LSM04_004122;Name=LSM04_004122;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004122",2397
"JAJSEB010000012.1","Genbank","gene",277421,278989,".","+",".","ID=gene-LSM04_006875;Name=LSM04_006875;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006875",1569
"JAJSEB010000012.1","Genbank","gene",279720,280673,".","+",".","ID=gene-LSM04_003292;Name=LSM04_003292;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003292",954
"JAJSEB010000012.1","Genbank","gene",281229,282989,".","+",".","ID=gene-LSM04_005048;Name=LSM04_005048;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005048",1761
"JAJSEB010000012.1","Genbank","gene",283999,286344,".","+",".","ID=gene-LSM04_007939;Name=LSM04_007939;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007939",2346
"JAJSEB010000012.1","Genbank","gene",287702,291325,".","+",".","ID=gene-LSM04_001287;Name=LSM04_001287;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001287",3624
"JAJSEB010000012.1","Genbank","gene",291869,292537,".","+",".","ID=gene-LSM04_008342;Name=LSM04_008342;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008342",669
"JAJSEB010000012.1","Genbank","gene",293595,299120,".","+",".","ID=gene-LSM04_005794;Name=LSM04_005794;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005794",5526
"JAJSEB010000012.1","Genbank","gene",300772,302103,".","+",".","ID=gene-LSM04_005071;Name=LSM04_005071;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005071",1332
"JAJSEB010000012.1","Genbank","gene",303775,305772,".","+",".","ID=gene-LSM04_003634;Name=LSM04_003634;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003634",1998
"JAJSEB010000012.1","Genbank","gene",306368,308056,".","+",".","ID=gene-LSM04_003771;Name=LSM04_003771;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003771",1689
"JAJSEB010000012.1","Genbank","gene",308777,310579,".","+",".","ID=gene-LSM04_004282;Name=LSM04_004282;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004282",1803
"JAJSEB010000012.1","Genbank","gene",311225,315172,".","+",".","ID=gene-LSM04_000798;Name=LSM04_000798;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000798",3948
"JAJSEB010000012.1","Genbank","gene",315571,317463,".","+",".","ID=gene-LSM04_006315;Name=LSM04_006315;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006315",1893
"JAJSEB010000012.1","Genbank","gene",317860,318471,".","+",".","ID=gene-LSM04_001964;Name=LSM04_001964;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001964",612
"JAJSEB010000012.1","Genbank","gene",318804,320810,".","+",".","ID=gene-LSM04_002331;Name=LSM04_002331;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002331",2007
"JAJSEB010000012.1","Genbank","gene",323212,324843,".","-",".","ID=gene-LSM04_004150;Name=LSM04_004150;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004150",1632
"JAJSEB010000012.1","Genbank","gene",325956,327614,".","-",".","ID=gene-LSM04_001888;Name=LSM04_001888;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001888",1659
"JAJSEB010000012.1","Genbank","gene",328345,330108,".","-",".","ID=gene-LSM04_002826;Name=LSM04_002826;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002826",1764
"JAJSEB010000012.1","Genbank","gene",331913,333817,".","-",".","ID=gene-LSM04_002729;Name=LSM04_002729;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002729",1905
"JAJSEB010000012.1","Genbank","gene",335165,336439,".","-",".","ID=gene-LSM04_000191;Name=LSM04_000191;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000191",1275
"JAJSEB010000012.1","Genbank","gene",337267,340926,".","-",".","ID=gene-LSM04_001298;Name=LSM04_001298;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001298",3660
"JAJSEB010000012.1","Genbank","gene",341532,345245,".","-",".","ID=gene-LSM04_002242;Name=LSM04_002242;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002242",3714
"JAJSEB010000012.1","Genbank","gene",345761,348085,".","-",".","ID=gene-LSM04_003332;Name=LSM04_003332;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003332",2325
"JAJSEB010000012.1","Genbank","gene",348655,349407,".","-",".","ID=gene-LSM04_009618;Name=LSM04_009618;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009618",753
"JAJSEB010000012.1","Genbank","gene",349765,350604,".","-",".","ID=gene-LSM04_008156;Name=LSM04_008156;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008156",840
"JAJSEB010000012.1","Genbank","gene",351250,351846,".","-",".","ID=gene-LSM04_003241;Name=LSM04_003241;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003241",597
"JAJSEB010000012.1","Genbank","gene",352369,353103,".","-",".","ID=gene-LSM04_003844;Name=LSM04_003844;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003844",735
"JAJSEB010000012.1","Genbank","gene",353502,355154,".","-",".","ID=gene-LSM04_000560;Name=LSM04_000560;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000560",1653
"JAJSEB010000012.1","Genbank","gene",355569,356405,".","-",".","ID=gene-LSM04_004863;Name=LSM04_004863;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004863",837
"JAJSEB010000012.1","Genbank","gene",358482,362840,".","-",".","ID=gene-LSM04_004408;Name=LSM04_004408;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004408",4359
"JAJSEB010000012.1","Genbank","gene",364482,364907,".","-",".","ID=gene-LSM04_003414;Name=LSM04_003414;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003414",426
"JAJSEB010000012.1","Genbank","gene",365530,366111,".","-",".","ID=gene-LSM04_007065;Name=LSM04_007065;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007065",582
"JAJSEB010000012.1","Genbank","gene",367110,368738,".","-",".","ID=gene-LSM04_006717;Name=LSM04_006717;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006717",1629
"JAJSEB010000012.1","Genbank","gene",369443,370051,".","-",".","ID=gene-LSM04_005333;Name=LSM04_005333;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005333",609
"JAJSEB010000012.1","Genbank","gene",370487,373627,".","-",".","ID=gene-LSM04_005483;Name=LSM04_005483;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_005483",3141
"JAJSEB010000012.1","Genbank","gene",374415,376178,".","-",".","ID=gene-LSM04_007082;Name=LSM04_007082;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007082",1764
"JAJSEB010000012.1","Genbank","gene",377062,377886,".","-",".","ID=gene-LSM04_002523;Name=LSM04_002523;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002523",825
"JAJSEB010000012.1","Genbank","gene",378317,379057,".","-",".","ID=gene-LSM04_003913;Name=LSM04_003913;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003913",741
"JAJSEB010000012.1","Genbank","gene",379537,386193,".","-",".","ID=gene-LSM04_009381;Name=LSM04_009381;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009381",6657
"JAJSEB010000012.1","Genbank","gene",386796,388244,".","-",".","ID=gene-LSM04_002371;Name=LSM04_002371;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002371",1449
"JAJSEB010000012.1","Genbank","gene",388876,391179,".","-",".","ID=gene-LSM04_008150;Name=LSM04_008150;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008150",2304
"JAJSEB010000012.1","Genbank","gene",391610,393382,".","-",".","ID=gene-LSM04_004999;Name=LSM04_004999;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_004999",1773
"JAJSEB010000012.1","Genbank","gene",395042,396709,".","-",".","ID=gene-LSM04_009015;Name=LSM04_009015;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009015",1668
