"seqid","source","type","start","end","score","strand","phase","attributes","longitud"
"JAJSEB010000012.1","Genbank","CDS",144983,145529,".","+","0","ID=cds-KAH9600113.1;Parent=rna-gnl|WGS:JAJSEB|jg8888.t1;Dbxref=NCBI_GP:KAH9600113.1;Name=KAH9600113.1;gbkey=CDS;locus_tag=LSM04_002627;orig_transcript_id=gnl|WGS:JAJSEB|jg8888.t1;product=IGP family C-type lectin domain;protein_id=KAH9600113.1",547
"JAJSEB010000012.1","Genbank","CDS",145592,146262,".","+","2","ID=cds-KAH9600113.1;Parent=rna-gnl|WGS:JAJSEB|jg8888.t1;Dbxref=NCBI_GP:KAH9600113.1;Name=KAH9600113.1;gbkey=CDS;locus_tag=LSM04_002627;orig_transcript_id=gnl|WGS:JAJSEB|jg8888.t1;product=IGP family C-type lectin domain;protein_id=KAH9600113.1",671
"JAJSEB010000012.1","Genbank","gene",146956,148233,".","+",".","ID=gene-LSM04_003828;Name=LSM04_003828;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_003828",1278
"JAJSEB010000012.1","Genbank","mRNA",146956,148233,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8889.t1;Parent=gene-LSM04_003828;gbkey=mRNA;locus_tag=LSM04_003828;orig_protein_id=gnl|WGS:JAJSEB|jg8889.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8889.t1;product=IGP family C-type lectin domain",1278
"JAJSEB010000012.1","Genbank","exon",146956,148233,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8889.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8889.t1;gbkey=mRNA;locus_tag=LSM04_003828;orig_protein_id=gnl|WGS:JAJSEB|jg8889.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8889.t1;product=IGP family C-type lectin domain",1278
"JAJSEB010000012.1","Genbank","CDS",146956,148233,".","+","0","ID=cds-KAH9600138.1;Parent=rna-gnl|WGS:JAJSEB|jg8889.t1;Dbxref=NCBI_GP:KAH9600138.1;Name=KAH9600138.1;gbkey=CDS;locus_tag=LSM04_003828;orig_transcript_id=gnl|WGS:JAJSEB|jg8889.t1;product=IGP family C-type lectin domain;protein_id=KAH9600138.1",1278
"JAJSEB010000012.1","Genbank","gene",149419,150525,".","+",".","ID=gene-LSM04_009517;Name=LSM04_009517;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009517",1107
"JAJSEB010000012.1","Genbank","mRNA",149419,150525,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8890.t1;Parent=gene-LSM04_009517;gbkey=mRNA;locus_tag=LSM04_009517;orig_protein_id=gnl|WGS:JAJSEB|jg8890.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8890.t1;product=IGP family C-type lectin domain",1107
"JAJSEB010000012.1","Genbank","exon",149419,150525,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8890.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8890.t1;gbkey=mRNA;locus_tag=LSM04_009517;orig_protein_id=gnl|WGS:JAJSEB|jg8890.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8890.t1;product=IGP family C-type lectin domain",1107
"JAJSEB010000012.1","Genbank","CDS",149419,150525,".","+","0","ID=cds-KAH9600233.1;Parent=rna-gnl|WGS:JAJSEB|jg8890.t1;Dbxref=NCBI_GP:KAH9600233.1;Name=KAH9600233.1;gbkey=CDS;locus_tag=LSM04_009517;orig_transcript_id=gnl|WGS:JAJSEB|jg8890.t1;product=IGP family C-type lectin domain;protein_id=KAH9600233.1",1107
"JAJSEB010000012.1","Genbank","gene",151336,152385,".","+",".","ID=gene-LSM04_002287;Name=LSM04_002287;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002287",1050
"JAJSEB010000012.1","Genbank","mRNA",151336,152385,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8891.t1;Parent=gene-LSM04_002287;gbkey=mRNA;locus_tag=LSM04_002287;orig_protein_id=gnl|WGS:JAJSEB|jg8891.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8891.t1;product=IGP family C-type lectin domain",1050
"JAJSEB010000012.1","Genbank","exon",151336,152385,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8891.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8891.t1;gbkey=mRNA;locus_tag=LSM04_002287;orig_protein_id=gnl|WGS:JAJSEB|jg8891.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8891.t1;product=IGP family C-type lectin domain",1050
"JAJSEB010000012.1","Genbank","CDS",151336,152385,".","+","0","ID=cds-KAH9600100.1;Parent=rna-gnl|WGS:JAJSEB|jg8891.t1;Dbxref=NCBI_GP:KAH9600100.1;Name=KAH9600100.1;gbkey=CDS;locus_tag=LSM04_002287;orig_transcript_id=gnl|WGS:JAJSEB|jg8891.t1;product=IGP family C-type lectin domain;protein_id=KAH9600100.1",1050
"JAJSEB010000012.1","Genbank","gene",153079,153621,".","+",".","ID=gene-LSM04_008949;Name=LSM04_008949;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_008949",543
"JAJSEB010000012.1","Genbank","mRNA",153079,153621,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8892.t1;Parent=gene-LSM04_008949;gbkey=mRNA;locus_tag=LSM04_008949;orig_protein_id=gnl|WGS:JAJSEB|jg8892.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8892.t1;product=Complex 1 LYR protein",543
"JAJSEB010000012.1","Genbank","exon",153079,153621,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8892.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8892.t1;gbkey=mRNA;locus_tag=LSM04_008949;orig_protein_id=gnl|WGS:JAJSEB|jg8892.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8892.t1;product=Complex 1 LYR protein",543
"JAJSEB010000012.1","Genbank","CDS",153079,153621,".","+","0","ID=cds-KAH9600222.1;Parent=rna-gnl|WGS:JAJSEB|jg8892.t1;Dbxref=NCBI_GP:KAH9600222.1;Name=KAH9600222.1;gbkey=CDS;locus_tag=LSM04_008949;orig_transcript_id=gnl|WGS:JAJSEB|jg8892.t1;product=Complex 1 LYR protein;protein_id=KAH9600222.1",543
"JAJSEB010000012.1","Genbank","gene",153869,154921,".","+",".","ID=gene-LSM04_002960;Name=LSM04_002960;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_002960",1053
"JAJSEB010000012.1","Genbank","mRNA",153869,154921,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8893.t1;Parent=gene-LSM04_002960;gbkey=mRNA;locus_tag=LSM04_002960;orig_protein_id=gnl|WGS:JAJSEB|jg8893.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8893.t1;product=hypothetical protein",1053
"JAJSEB010000012.1","Genbank","exon",153869,154921,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8893.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8893.t1;gbkey=mRNA;locus_tag=LSM04_002960;orig_protein_id=gnl|WGS:JAJSEB|jg8893.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8893.t1;product=hypothetical protein",1053
"JAJSEB010000012.1","Genbank","CDS",153869,154921,".","+","0","ID=cds-KAH9600118.1;Parent=rna-gnl|WGS:JAJSEB|jg8893.t1;Dbxref=NCBI_GP:KAH9600118.1;Name=KAH9600118.1;gbkey=CDS;locus_tag=LSM04_002960;orig_transcript_id=gnl|WGS:JAJSEB|jg8893.t1;product=hypothetical protein;protein_id=KAH9600118.1",1053
"JAJSEB010000012.1","Genbank","gene",155267,156148,".","+",".","ID=gene-LSM04_009619;Name=LSM04_009619;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009619",882
"JAJSEB010000012.1","Genbank","mRNA",155267,156148,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8894.t1;Parent=gene-LSM04_009619;gbkey=mRNA;locus_tag=LSM04_009619;orig_protein_id=gnl|WGS:JAJSEB|jg8894.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8894.t1;product=GPN-loop GTPase",882
"JAJSEB010000012.1","Genbank","exon",155267,156148,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8894.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8894.t1;gbkey=mRNA;locus_tag=LSM04_009619;orig_protein_id=gnl|WGS:JAJSEB|jg8894.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8894.t1;product=GPN-loop GTPase",882
"JAJSEB010000012.1","Genbank","CDS",155267,156148,".","+","0","ID=cds-KAH9600235.1;Parent=rna-gnl|WGS:JAJSEB|jg8894.t1;Dbxref=NCBI_GP:KAH9600235.1;Name=KAH9600235.1;gbkey=CDS;locus_tag=LSM04_009619;orig_transcript_id=gnl|WGS:JAJSEB|jg8894.t1;product=GPN-loop GTPase;protein_id=KAH9600235.1",882
"JAJSEB010000012.1","Genbank","gene",157122,158324,".","+",".","ID=gene-LSM04_001357;Name=LSM04_001357;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001357",1203
"JAJSEB010000012.1","Genbank","mRNA",157122,158324,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8895.t1;Parent=gene-LSM04_001357;gbkey=mRNA;locus_tag=LSM04_001357;orig_protein_id=gnl|WGS:JAJSEB|jg8895.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8895.t1;product=DNA/RNA non-specific endonuclease",1203
"JAJSEB010000012.1","Genbank","exon",157122,158324,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8895.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8895.t1;gbkey=mRNA;locus_tag=LSM04_001357;orig_protein_id=gnl|WGS:JAJSEB|jg8895.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8895.t1;product=DNA/RNA non-specific endonuclease",1203
"JAJSEB010000012.1","Genbank","CDS",157122,158324,".","+","0","ID=cds-KAH9600084.1;Parent=rna-gnl|WGS:JAJSEB|jg8895.t1;Dbxref=NCBI_GP:KAH9600084.1;Name=KAH9600084.1;gbkey=CDS;locus_tag=LSM04_001357;orig_transcript_id=gnl|WGS:JAJSEB|jg8895.t1;product=DNA/RNA non-specific endonuclease;protein_id=KAH9600084.1",1203
"JAJSEB010000012.1","Genbank","gene",159584,162193,".","+",".","ID=gene-LSM04_009368;Name=LSM04_009368;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_009368",2610
"JAJSEB010000012.1","Genbank","mRNA",159584,162193,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8896.t1;Parent=gene-LSM04_009368;gbkey=mRNA;locus_tag=LSM04_009368;orig_protein_id=gnl|WGS:JAJSEB|jg8896.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8896.t1;product=hypothetical protein",2610
"JAJSEB010000012.1","Genbank","exon",159584,162193,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8896.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8896.t1;gbkey=mRNA;locus_tag=LSM04_009368;orig_protein_id=gnl|WGS:JAJSEB|jg8896.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8896.t1;product=hypothetical protein",2610
"JAJSEB010000012.1","Genbank","CDS",159584,162193,".","+","0","ID=cds-KAH9600231.1;Parent=rna-gnl|WGS:JAJSEB|jg8896.t1;Dbxref=NCBI_GP:KAH9600231.1;Name=KAH9600231.1;gbkey=CDS;locus_tag=LSM04_009368;orig_transcript_id=gnl|WGS:JAJSEB|jg8896.t1;product=hypothetical protein;protein_id=KAH9600231.1",2610
"JAJSEB010000012.1","Genbank","gene",163209,163676,".","+",".","ID=gene-LSM04_006782;Name=LSM04_006782;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_006782",468
"JAJSEB010000012.1","Genbank","mRNA",163209,163676,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8897.t1;Parent=gene-LSM04_006782;gbkey=mRNA;locus_tag=LSM04_006782;orig_protein_id=gnl|WGS:JAJSEB|jg8897.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8897.t1;product=hypothetical protein",468
"JAJSEB010000012.1","Genbank","exon",163209,163676,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8897.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8897.t1;gbkey=mRNA;locus_tag=LSM04_006782;orig_protein_id=gnl|WGS:JAJSEB|jg8897.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8897.t1;product=hypothetical protein",468
"JAJSEB010000012.1","Genbank","CDS",163209,163676,".","+","0","ID=cds-KAH9600188.1;Parent=rna-gnl|WGS:JAJSEB|jg8897.t1;Dbxref=NCBI_GP:KAH9600188.1;Name=KAH9600188.1;gbkey=CDS;locus_tag=LSM04_006782;orig_transcript_id=gnl|WGS:JAJSEB|jg8897.t1;product=hypothetical protein;protein_id=KAH9600188.1",468
"JAJSEB010000012.1","Genbank","gene",164733,164972,".","+",".","ID=gene-LSM04_001667;Name=LSM04_001667;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_001667",240
"JAJSEB010000012.1","Genbank","mRNA",164733,164972,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8898.t1;Parent=gene-LSM04_001667;gbkey=mRNA;locus_tag=LSM04_001667;orig_protein_id=gnl|WGS:JAJSEB|jg8898.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8898.t1;product=hypothetical protein",240
"JAJSEB010000012.1","Genbank","exon",164733,164972,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8898.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8898.t1;gbkey=mRNA;locus_tag=LSM04_001667;orig_protein_id=gnl|WGS:JAJSEB|jg8898.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8898.t1;product=hypothetical protein",240
"JAJSEB010000012.1","Genbank","CDS",164733,164972,".","+","0","ID=cds-KAH9600089.1;Parent=rna-gnl|WGS:JAJSEB|jg8898.t1;Dbxref=NCBI_GP:KAH9600089.1;Name=KAH9600089.1;gbkey=CDS;locus_tag=LSM04_001667;orig_transcript_id=gnl|WGS:JAJSEB|jg8898.t1;product=hypothetical protein;protein_id=KAH9600089.1",240
"JAJSEB010000012.1","Genbank","gene",166296,167609,".","+",".","ID=gene-LSM04_000323;Name=LSM04_000323;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000323",1314
"JAJSEB010000012.1","Genbank","mRNA",166296,167609,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8899.t1;Parent=gene-LSM04_000323;gbkey=mRNA;locus_tag=LSM04_000323;orig_protein_id=gnl|WGS:JAJSEB|jg8899.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8899.t1;product=thiamine pyrophosphokinase",1314
"JAJSEB010000012.1","Genbank","exon",166296,167609,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8899.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8899.t1;gbkey=mRNA;locus_tag=LSM04_000323;orig_protein_id=gnl|WGS:JAJSEB|jg8899.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8899.t1;product=thiamine pyrophosphokinase",1314
"JAJSEB010000012.1","Genbank","CDS",166296,167609,".","+","0","ID=cds-KAH9600059.1;Parent=rna-gnl|WGS:JAJSEB|jg8899.t1;Dbxref=NCBI_GP:KAH9600059.1;Name=KAH9600059.1;gbkey=CDS;locus_tag=LSM04_000323;orig_transcript_id=gnl|WGS:JAJSEB|jg8899.t1;product=thiamine pyrophosphokinase;protein_id=KAH9600059.1",1314
"JAJSEB010000012.1","Genbank","gene",170382,171203,".","+",".","ID=gene-LSM04_000342;Name=LSM04_000342;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_000342",822
"JAJSEB010000012.1","Genbank","mRNA",170382,171203,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8900.t1;Parent=gene-LSM04_000342;gbkey=mRNA;locus_tag=LSM04_000342;orig_protein_id=gnl|WGS:JAJSEB|jg8900.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8900.t1;product=Ribosomal protein S4e",822
"JAJSEB010000012.1","Genbank","exon",170382,171203,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8900.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8900.t1;gbkey=mRNA;locus_tag=LSM04_000342;orig_protein_id=gnl|WGS:JAJSEB|jg8900.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8900.t1;product=Ribosomal protein S4e",822
"JAJSEB010000012.1","Genbank","CDS",170382,171203,".","+","0","ID=cds-KAH9600060.1;Parent=rna-gnl|WGS:JAJSEB|jg8900.t1;Dbxref=NCBI_GP:KAH9600060.1;Name=KAH9600060.1;gbkey=CDS;locus_tag=LSM04_000342;orig_transcript_id=gnl|WGS:JAJSEB|jg8900.t1;product=Ribosomal protein S4e;protein_id=KAH9600060.1",822
"JAJSEB010000012.1","Genbank","gene",171505,172890,".","+",".","ID=gene-LSM04_007332;Name=LSM04_007332;gbkey=Gene;gene_biotype=protein_coding;locus_tag=LSM04_007332",1386
"JAJSEB010000012.1","Genbank","mRNA",171505,172890,".","+",".","ID=rna-gnl|WGS:JAJSEB|jg8901.t1;Parent=gene-LSM04_007332;gbkey=mRNA;locus_tag=LSM04_007332;orig_protein_id=gnl|WGS:JAJSEB|jg8901.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8901.t1;product=Equilibrative nucleoside transporter",1386
"JAJSEB010000012.1","Genbank","exon",171505,172890,".","+",".","ID=exon-gnl|WGS:JAJSEB|jg8901.t1-1;Parent=rna-gnl|WGS:JAJSEB|jg8901.t1;gbkey=mRNA;locus_tag=LSM04_007332;orig_protein_id=gnl|WGS:JAJSEB|jg8901.t1.CDS1;orig_transcript_id=gnl|WGS:JAJSEB|jg8901.t1;product=Equilibrative nucleoside transporter",1386
